"","dyad_name","gender","GES_score","age","language","parent","experience","regular_contact","ID","id_in_group","stim_category","stim_number","time","soundLevel","startSound","RT","RT_from_onset","position","response"
"77","GLORIOUS SILVER LEMMING","Female",2.68,19,"Other","No","No","No","2 GLORIOUS SILVER LEMMING",2,"Cries",2,09:24:39,4,48049,0,0,"Right","none"
"78","GLORIOUS SILVER LEMMING","Female",2.68,19,"Other","No","No","No","2 GLORIOUS SILVER LEMMING",2,"Cries",4,09:16:30,4,48047,0,0,"Right","none"
"79","GLORIOUS SILVER LEMMING","Female",2.68,19,"Other","No","No","No","2 GLORIOUS SILVER LEMMING",2,"Cries",1,09:18:01,4,48047,0,0,"Right","none"
"80","GLORIOUS SILVER LEMMING","Female",2.68,19,"Other","No","No","No","2 GLORIOUS SILVER LEMMING",2,"Alarm",4,09:21:14,4,48050,0,0,"Right","none"
"81","GLORIOUS SILVER LEMMING","Female",2.68,19,"Other","No","No","No","2 GLORIOUS SILVER LEMMING",2,"Cries",3,09:26:58,4,48047,0,0,"Right","none"
"82","GLORIOUS SILVER LEMMING","Female",2.68,19,"Other","No","No","No","2 GLORIOUS SILVER LEMMING",2,"Alarm",2,09:30:09,4,48047,0,0,"Right","none"
"83","GLORIOUS SILVER LEMMING","Female",2.68,19,"Other","No","No","No","2 GLORIOUS SILVER LEMMING",2,"Alarm",1,09:31:22,4,48048,0,0,"Right","none"
"84","HARDIER BLOND CRAB","Male",2.52,26,"Other","No","No","No","1 HARDIER BLOND CRAB",1,"Alarm",1,10:22:59,4,48059,0,0,"Right","none"
"85","HARDIER BLOND CRAB","Male",2.52,26,"Other","No","No","No","1 HARDIER BLOND CRAB",1,"Alarm",4,10:16:54,4,48057,0,0,"Right","none"
"86","HARDIER BLOND CRAB","Male",2.52,26,"Other","No","No","No","1 HARDIER BLOND CRAB",1,"Alarm",2,10:19:21,4,48057,0,0,"Right","none"
